rank,test_means,test_stds,train_means,train_stds,n_estimators,max_samples,max_features,max_depth
26,0.973964709059217,0.0057762038415557675,0.997669696804816,0.0007025658801652941,180,0.30000000000000004,auto,18
60,0.8027678398176666,0.034163915981229455,0.8220052276042674,0.014559932454149715,280,0.8,sqrt,2
41,0.9369525208458238,0.006629522180324271,0.9743185148726934,0.0016990415028272103,150,0.1,sqrt,13
24,0.9746125692701849,0.0077809407316786995,0.9984476803058383,0.0005183077531636141,430,0.8,auto,8
19,0.97960724112735,0.006298373979890368,0.9998278088678433,0.00021089020600802478,440,0.4,auto,19
62,,,,,110,0.9,auto,6
36,0.9470405014491036,0.01204769163769432,0.9968059128100564,0.0010457551338459762,10,0.8,auto,18
53,0.8750428333762764,0.022405631983345446,0.9019746207323449,0.01034158413904794,200,0.5,sqrt,3
59,0.8028489059540205,0.018882956560603445,0.8225592927213515,0.005196215235594327,350,0.6,sqrt,2
45,0.9186661588668572,0.018696820291585366,0.9523051118268666,0.004791961887099533,330,1.0,auto,4
29,0.9703098522617759,0.007295017348438435,0.9948071399056552,0.0009900225845061936,200,0.9,auto,7
2,0.9863701380782448,0.004236201476440329,1.0,0.0,270,0.9,sqrt,19
71,,,,,230,0.4,auto,4
68,,,,,290,0.6,auto,13
38,0.9445769432511921,0.010394363497459695,0.9762133365381407,0.0019098660829255166,270,0.1,sqrt,8
72,,,,,410,0.1,auto,12
75,,,,,320,0.4,auto,10
98,,,,,290,0.7000000000000001,auto,3
97,,,,,80,0.7000000000000001,sqrt,2
49,0.898140682543272,0.02135001545318808,0.9364463291249893,0.00806947777458152,40,0.7000000000000001,sqrt,4
58,0.8071387747906094,0.02172884374240724,0.8225936750622699,0.008407726836274736,430,0.4,auto,2
95,,,,,90,0.1,sqrt,3
56,0.8712544595925922,0.02100250777968267,0.8997099596605954,0.006955420811433983,380,0.9,sqrt,3
52,0.8792377288097578,0.025380995337276738,0.9011674111849134,0.007305394920400498,430,0.6,auto,3
85,,,,,450,0.4,auto,16
22,0.9768369171377655,0.007004612355837595,0.9983612876341287,0.0007914636289482194,270,0.30000000000000004,sqrt,13
40,0.9371860403266826,0.01074156158134529,0.9698943003548017,0.0012180534338622907,290,0.30000000000000004,sqrt,5
34,0.9485714582919709,0.008633986764010409,0.9743019163607537,0.0017255127209331843,200,1.0,sqrt,5
83,,,,,180,0.8,auto,15
10,0.9838753025201095,0.006994336766288797,1.0,0.0,480,0.6,sqrt,16
82,,,,,220,0.5,auto,6
7,0.9842355412171677,0.005342637201060765,1.0,0.0,440,0.7000000000000001,sqrt,12
8,0.9839061494773947,0.00360807000424412,1.0,0.0,220,1.0,sqrt,10
31,0.9665594676961045,0.0022274034114349826,0.9956796719969156,0.0007743937442554655,60,0.30000000000000004,sqrt,10
16,0.981403669771091,0.006294737510606901,0.9999139044339216,0.00017219113215669602,410,0.5,auto,13
78,,,,,350,0.8,auto,8
46,0.9186138009598105,0.01377931547483794,0.9454554443970482,0.0038839684872612927,160,0.4,sqrt,4
76,,,,,130,1.0,sqrt,7
43,0.9351434076396966,0.008084230729028516,0.9711947843264035,0.0020707715059437425,100,0.1,sqrt,19
4,0.9860138178079094,0.0048523959749052405,1.0,0.0,380,0.7000000000000001,sqrt,16
79,,,,,230,0.2,auto,11
50,0.8859374603341369,0.012795567897990428,0.9043602309414756,0.0018511188471701198,180,0.30000000000000004,sqrt,3
42,0.9361362029317879,0.013915926397405246,0.9676338505151257,0.002787895897629651,240,0.1,auto,6
80,,,,,280,0.9,auto,8
81,,,,,50,0.8,sqrt,3
51,0.8829153494406924,0.014204538310651573,0.9060675369460467,0.006688409052770263,420,0.1,auto,3
1,0.9870766861971477,0.004129429828076973,1.0,0.0,410,0.8,sqrt,13
21,0.9771782872637915,0.00799592133901997,0.9996554693909612,0.0003222788745700257,410,0.4,sqrt,15
9,0.9838851430983905,0.006249868850425931,1.0,0.0,400,0.8,sqrt,11
37,0.9466148804758273,0.005332202042711071,0.9752453117879643,0.0024523284978105056,140,0.1,auto,9
28,0.9705985026557356,0.007340858570325763,0.9940242857936944,0.0005065202432243432,410,0.6,sqrt,7
57,0.8111493498303772,0.020674118883640943,0.830556412802278,0.010808757719287491,150,0.4,auto,2
86,,,,,490,0.2,auto,11
87,,,,,30,1.0,auto,18
88,,,,,220,0.6,auto,17
11,0.9836204687692616,0.006636679443823176,1.0,0.0,200,0.6,sqrt,13
89,,,,,220,0.5,sqrt,13
90,,,,,290,0.8,auto,10
55,0.8714012744640174,0.024786926428210017,0.9057510196768025,0.00694925252575414,370,0.1,auto,3
91,,,,,480,0.5,sqrt,8
92,,,,,220,0.6,sqrt,8
93,,,,,220,0.5,sqrt,7
94,,,,,460,0.6,sqrt,8
23,0.9748051100809503,0.006015663644890127,0.9983618079140616,0.0005729075597963413,40,0.5,sqrt,10
25,0.9739785697655122,0.004186001025748383,0.9978429303559968,0.0006108380211665491,150,0.30000000000000004,sqrt,19
14,0.9828589176855737,0.006810336439857528,1.0,0.0,80,1.0,auto,11
96,,,,,60,0.5,sqrt,5
5,0.985304488276393,0.00597361558773898,1.0,0.0,340,0.9,auto,14
100,,,,,270,0.4,sqrt,5
18,0.9796215785698796,0.00611602039236151,0.9997416391134271,0.00021095082401716215,460,0.5,sqrt,10
48,0.916892817148845,0.010085020464022385,0.9472305340046843,0.0038516691035665246,210,0.30000000000000004,sqrt,4
47,0.9177185340573872,0.01293057963883761,0.9431588561729223,0.0019355435064114654,190,0.2,auto,4
54,0.8715491437170855,0.01023397457280222,0.8983468472773037,0.014552829451510511,10,0.6,sqrt,4
27,0.9717077436298055,0.00780595309684053,0.9953283408403589,0.001240075559656111,160,0.8,auto,7
77,,,,,20,1.0,auto,6
99,,,,,360,0.7000000000000001,sqrt,17
17,0.9796574277201682,0.006095329699767174,1.0,0.0,220,0.6,auto,16
3,0.9860234508089395,0.004726923455267144,1.0,0.0,250,0.9,sqrt,14
39,0.9392712733097731,0.011568242839614454,0.9709834445710109,0.0024807118656622338,340,0.30000000000000004,sqrt,5
64,,,,,30,0.9,auto,11
74,,,,,250,0.30000000000000004,auto,7
32,0.9624040518603104,0.008826353204772094,0.9917552026316241,0.0019177166404332436,140,0.2,sqrt,10
67,,,,,90,0.4,auto,15
13,0.9835263588639089,0.0050735206363645815,1.0,0.0,340,0.7000000000000001,auto,15
69,,,,,310,0.2,auto,8
70,,,,,410,0.9,sqrt,19
30,0.9675447901592251,0.008053713256900163,0.993587439309884,0.0012746519861105247,290,0.2,auto,14
6,0.9849691721157605,0.0042439355472379,1.0,0.0,260,0.7000000000000001,auto,16
73,,,,,470,0.9,auto,15
65,,,,,60,0.1,sqrt,3
20,0.9785867053242552,0.005735114515160343,0.9993969600317794,0.00021119333095668465,390,0.4,auto,13
66,,,,,390,0.1,auto,9
33,0.9601609120832908,0.010803027783285969,0.9919278591629441,0.0010600189416804901,100,0.4,auto,7
63,,,,,450,0.30000000000000004,auto,17
15,0.9814247366501204,0.003660593326021795,0.9997415649250894,0.00021101139852887891,260,0.6,auto,10
35,0.9483519473472997,0.010503404929636077,0.9866840221854088,0.0027792967150210724,50,0.2,auto,16
61,,,,,230,0.7000000000000001,sqrt,11
12,0.9835497661766283,0.006903590663070983,1.0,0.0,180,0.6,sqrt,19
84,,,,,490,0.9,sqrt,17
44,0.925866051759432,0.010465486974992225,0.9748624779848967,0.0012077073316629564,20,0.2,auto,9
