rank,test_means,test_stds,train_means,train_stds,C,gamma
26,0.9028259169834542,0.009215685435769831,1.0,0.0,1.7,2.913
44,0.8591859532496858,0.015196638081841785,1.0,0.0,4.31,5.003
70,0.8353669288185849,0.0166438954587084,1.0,0.0,4.93,6.977
43,0.8636624773170258,0.014518429642971188,1.0,0.0,2.2399999999999998,4.713
5,0.9855844300393386,0.00688018461015038,0.9990521321258221,0.00032281522022630047,1.58,0.164
71,0.8353451603813014,0.017234485395570393,1.0,0.0,1.1400000000000001,6.188000000000001
49,0.8528499091528655,0.016200342803395353,1.0,0.0,4.05,5.292000000000001
21,0.9245515099405417,0.008646331569706315,0.9538361308848804,0.001536210149868695,1.25,0.036000000000000004
26,0.9028259169834542,0.009215685435769831,1.0,0.0,4.4799999999999995,2.919
82,0.8178182317395983,0.017016075049341897,1.0,0.0,2.1399999999999997,8.456
37,0.876038570208826,0.011495209362412767,1.0,0.0,4.53,4.122000000000001
22,0.9243369336053894,0.010611763785681799,1.0,0.0,4.99,2.004
73,0.8344464751456148,0.016150258436684838,1.0,0.0,1.77,7.0680000000000005
17,0.9326978815081292,0.006859526240930393,1.0,0.0,4.53,1.8259999999999998
48,0.8573731806549489,0.015830966438415948,1.0,0.0,3.3499999999999996,5.104
25,0.913488146691922,0.009512682870468915,1.0,0.0,0.8,1.823
96,0.3523823384574479,0.026541963289269974,0.37237037759190017,0.009444229507463724,0.11,3.366
29,0.9007455804098855,0.009396765938338412,1.0,0.0,1.27,2.879
63,0.8423042135093762,0.017312957862292144,1.0,0.0,1.4000000000000001,6.165
75,0.8259517712108311,0.01672419375658795,1.0,0.0,1.31,7.502000000000001
91,0.8002340274400561,0.01745270286867294,1.0,0.0,0.92,7.132000000000001
36,0.8764683908698607,0.011764537711163335,1.0,0.0,2.26,4.1080000000000005
7,0.9810071459884707,0.006374283848298386,1.0,0.0,3.54,0.763
87,0.8061140462246635,0.018710088286753475,1.0,0.0,4.85,9.6
16,0.9342530155923028,0.0075538769613302794,1.0,0.0,4.7299999999999995,1.8119999999999998
26,0.9028259169834542,0.009215685435769831,1.0,0.0,4.85,2.932
11,0.9635401522226476,0.007443190988670795,1.0,0.0,1.51,1.093
3,0.9930468424771799,0.0042974256553761974,1.0,0.0,4.27,0.456
62,0.8441522036135034,0.017193208599830482,1.0,0.0,3.28,6.037000000000001
97,0.3267406802239058,0.02757256406502389,0.3295626212719872,0.007283784712582823,0.09,4.663
39,0.8676899900215018,0.012775048611697568,1.0,0.0,1.96,4.550000000000001
66,0.8390874123737749,0.016602699571038278,1.0,0.0,2.42,6.424
45,0.8587322263745543,0.015434304873857328,1.0,0.0,3.48,5.023000000000001
30,0.8956388831018305,0.01371024371751162,1.0,0.0,2.6599999999999997,3.257
83,0.8148589239921332,0.019304075587200178,1.0,0.0,2.4299999999999997,8.631
94,0.6548590979107887,0.009866024842354802,0.8658252896662247,0.0048006104871854,0.53,8.231
31,0.8944072380616859,0.012529151972461143,1.0,0.0,2.67,3.313
67,0.8367669394569017,0.01651094945692877,1.0,0.0,2.59,6.9030000000000005
6,0.9838759605996368,0.005915334141701032,1.0,0.0,2.5799999999999996,0.664
72,0.8349019989588655,0.016540126627972284,1.0,0.0,3.42,7.006
60,0.8446025911020495,0.017524389559900475,1.0,0.0,3.3899999999999997,5.998
54,0.8478098896376449,0.01734609007666533,1.0,0.0,3.3899999999999997,5.696000000000001
57,0.8455139061719212,0.017693485988755146,1.0,0.0,2.8,5.793
57,0.8455139061719212,0.017693485988755146,1.0,0.0,1.47,5.836
99,0.31597445404512586,0.03042970790921158,0.3179513597285043,0.007532509799496616,0.06999999999999999,8.155
57,0.8455139061719212,0.017693485988755146,1.0,0.0,1.83,5.848000000000001
60,0.8446025911020495,0.017524389559900475,1.0,0.0,2.75,5.958
79,0.8216387174797178,0.01757266564339004,1.0,0.0,3.4,8.062999999999999
35,0.8769205585461087,0.010894108225631161,1.0,0.0,3.01,4.059
67,0.8367669394569017,0.01651094945692877,1.0,0.0,4.06,6.924
2,0.9934403078010356,0.00299349289528211,1.0,0.0,2.6799999999999997,0.263
14,0.9583438637420271,0.006909979483813676,1.0,0.0,4.46,1.258
86,0.809538583756221,0.018660832001840787,1.0,0.0,4.8,9.149
12,0.963536201750941,0.007802249966060932,1.0,0.0,1.8800000000000001,1.1159999999999999
54,0.8478098896376449,0.01734609007666533,1.0,0.0,4.16,5.715000000000001
77,0.8230991493164457,0.016669092496062143,1.0,0.0,2.56,7.745
32,0.885965867576519,0.011018714364865376,1.0,0.0,1.78,3.593
52,0.8482585074307549,0.017637318591333207,1.0,0.0,2.31,5.644
4,0.9860084194848312,0.005393285802976368,1.0,0.0,3.92,0.589
93,0.7260231347043996,0.018314556536626406,0.8148006494231173,0.004135515600539012,0.28,1.8639999999999999
45,0.8587322263745543,0.015434304873857328,1.0,0.0,3.59,5.061000000000001
54,0.8478098896376449,0.01734609007666533,1.0,0.0,2.0999999999999996,5.715000000000001
89,0.8045902334966915,0.020253761019630938,1.0,0.0,2.3,9.665
95,0.37549021835114943,0.02376940489105029,0.4353285235749996,0.005051135969659017,0.2,6.789000000000001
84,0.8129352493580726,0.018930926719663222,1.0,0.0,2.6599999999999997,8.770999999999999
20,0.9291272098409644,0.008866510218296146,1.0,0.0,1.28,1.869
90,0.8041177668951927,0.019659287062977097,1.0,0.0,3.77,9.692
80,0.821099803964614,0.019549819019941028,1.0,0.0,1.05,6.902
76,0.8250065867787667,0.016585950525845834,1.0,0.0,3.05,7.567
39,0.8676899900215018,0.012775048611697568,1.0,0.0,1.59,4.557
49,0.8528499091528655,0.016200342803395353,1.0,0.0,2.59,5.29
92,0.7599221861166056,0.011481645228124412,0.9416720902536655,0.004538193431541962,0.5700000000000001,4.742
87,0.8061140462246635,0.018710088286753475,1.0,0.0,2.88,9.478
19,0.9299113297039145,0.009139547345959216,1.0,0.0,1.32,1.8679999999999999
85,0.8110645620785888,0.016438025114109023,1.0,0.0,1.01,7.394
42,0.8645620501645797,0.014037862377218433,1.0,0.0,4.78,4.6610000000000005
69,0.8363132125817702,0.016110468390909235,1.0,0.0,3.3699999999999997,6.949000000000001
98,0.32480090666651673,0.027998386821075045,0.3254680058086593,0.007462624373820897,0.03,3.25
38,0.8685748135756247,0.012648115328133014,1.0,0.0,2.71,4.509
9,0.9716363471653583,0.005783197948363886,1.0,0.0,2.6399999999999997,0.972
45,0.8587322263745543,0.015434304873857328,1.0,0.0,3.5,5.029000000000001
78,0.8221328812353624,0.017030056620045288,1.0,0.0,1.77,7.817
34,0.878208061542556,0.011528464016234993,1.0,0.0,2.6199999999999997,4.002000000000001
51,0.8514481101335898,0.017594070596708387,1.0,0.0,1.29,5.289000000000001
52,0.8482585074307549,0.017637318591333207,1.0,0.0,1.43,5.615
100,0.30037967124784154,0.025598915247371606,0.3044628506421785,0.005392625930181771,0.05,8.988999999999999
1,0.9941252141935595,0.002610011656767256,1.0,0.0,2.4099999999999997,0.311
64,0.8413982420821755,0.016728387415380377,1.0,0.0,3.27,6.206
39,0.8676899900215018,0.012775048611697568,1.0,0.0,1.51,4.535
13,0.9620379355358523,0.008873923946751936,1.0,0.0,2.2399999999999998,1.143
24,0.9195043627295527,0.012114205420705926,1.0,0.0,1.76,2.302
10,0.9646504996847873,0.007332295542242099,1.0,0.0,4.34,1.0679999999999998
74,0.8316345375088074,0.016221102232736505,1.0,0.0,1.74,7.269
15,0.9549644726954526,0.007300039988357887,1.0,0.0,2.1199999999999997,1.3499999999999999
8,0.9734578196680532,0.005414237389995458,1.0,0.0,4.79,0.929
18,0.930342582263898,0.008228353747326117,0.9612493164035552,0.0015658382567668326,2.1199999999999997,0.030000000000000002
22,0.9243369336053894,0.010611763785681799,1.0,0.0,2.2399999999999998,2.009
33,0.882526398051944,0.011487769392367309,1.0,0.0,4.49,3.751
81,0.8182810511207561,0.017589313589203813,1.0,0.0,2.9499999999999997,8.384
64,0.8413982420821755,0.016728387415380377,1.0,0.0,2.73,6.2010000000000005
